experiment_group,profile,mechanism,revenue,social_welfare,efficiency,payoff_mean,payoff_std,utility_gini,truthful_gap,late_bid_rate,collusion_discount,bidder_type,mean_payoff,win_rate,mean_bid,vcg_revenue_loss_vs_gsp,vcg_revenue_loss_pct_vs_gsp
heterogeneous_reference,all_truthful,GSP,7.2639,8.8983,0.9354,0.3269,0.2964,0.4716,0.0,0.0072,0.0,,,,,,
heterogeneous_reference,all_truthful,VCG,3.5263,8.8643,0.9387,1.0676,0.2294,0.1142,0.0,0.0092,0.0,,,,,,
heterogeneous_reference,balanced_market,GSP,6.8093,8.7601,0.9209,0.3902,0.312,0.4284,0.1824,0.0072,0.0,,,,,,
heterogeneous_reference,balanced_market,VCG,3.2764,8.6977,0.9209,1.0843,0.2634,0.13,0.1824,0.0092,0.0,,,,,,
heterogeneous,truthful_heavy,GSP,6.9736,8.7868,0.9237,0.3626,0.3043,0.4438,0.1133,0.0072,0.0,,,,,,
heterogeneous_payoff,truthful_heavy,GSP,,,,,,,,,,truthful,0.0958,0.2853,1.5425,,
heterogeneous_payoff,truthful_heavy,GSP,,,,,,,,,,aggressive,0.0841,0.3348,1.6639,,
heterogeneous_payoff,truthful_heavy,GSP,,,,,,,,,,shaded,0.0805,0.1311,1.2401,,
heterogeneous_payoff,truthful_heavy,GSP,,,,,,,,,,budget,0.0887,0.1585,1.3055,,
heterogeneous,truthful_heavy,VCG,3.3475,8.7367,0.9253,1.0778,0.2549,0.1264,0.1195,0.0092,0.0,,,,,,
heterogeneous_payoff,truthful_heavy,VCG,,,,,,,,,,budget,0.2022,0.1787,1.309,,
heterogeneous_payoff,truthful_heavy,VCG,,,,,,,,,,truthful,0.3021,0.2792,1.5389,,
heterogeneous_payoff,truthful_heavy,VCG,,,,,,,,,,shaded,0.1431,0.1301,1.2356,,
heterogeneous_payoff,truthful_heavy,VCG,,,,,,,,,,aggressive,0.3499,0.3395,1.6888,,
heterogeneous,shaded_heavy,GSP,6.366,8.776,0.9226,0.482,0.2924,0.3377,0.2556,0.0072,0.0,,,,,,
heterogeneous_payoff,shaded_heavy,GSP,,,,,,,,,,truthful,0.1234,0.3591,1.5564,,
heterogeneous_payoff,shaded_heavy,GSP,,,,,,,,,,aggressive,0.1204,0.3991,1.6639,,
heterogeneous_payoff,shaded_heavy,GSP,,,,,,,,,,shaded,0.1173,0.1872,1.2232,,
heterogeneous_payoff,shaded_heavy,GSP,,,,,,,,,,budget,0.1295,0.2223,1.3055,,
heterogeneous,shaded_heavy,VCG,3.055,8.692,0.9205,1.1274,0.285,0.1356,0.2622,0.0092,0.0,,,,,,
heterogeneous_payoff,shaded_heavy,VCG,,,,,,,,,,budget,0.2811,0.2387,1.309,,
heterogeneous_payoff,shaded_heavy,VCG,,,,,,,,,,shaded,0.2157,0.1855,1.2219,,
heterogeneous_payoff,shaded_heavy,VCG,,,,,,,,,,truthful,0.3809,0.3441,1.526,,
heterogeneous_payoff,shaded_heavy,VCG,,,,,,,,,,aggressive,0.4222,0.3991,1.6888,,
heterogeneous,budget_heavy,GSP,6.4885,8.8062,0.9259,0.4635,0.291,0.3441,0.209,0.0072,0.0,,,,,,
heterogeneous_payoff,budget_heavy,GSP,,,,,,,,,,truthful,0.1108,0.3384,1.5564,,
heterogeneous_payoff,budget_heavy,GSP,,,,,,,,,,aggressive,0.1078,0.3901,1.6639,,
heterogeneous_payoff,budget_heavy,GSP,,,,,,,,,,budget,0.1209,0.2069,1.3045,,
heterogeneous_payoff,budget_heavy,GSP,,,,,,,,,,shaded,0.1106,0.1796,1.2156,,
heterogeneous,budget_heavy,VCG,3.1383,8.7429,0.9258,1.1209,0.2778,0.1332,0.2108,0.0092,0.0,,,,,,
heterogeneous_payoff,budget_heavy,VCG,,,,,,,,,,budget,0.2492,0.2169,1.3164,,
heterogeneous_payoff,budget_heavy,VCG,,,,,,,,,,shaded,0.194,0.1665,1.2154,,
heterogeneous_payoff,budget_heavy,VCG,,,,,,,,,,truthful,0.3581,0.323,1.526,,
heterogeneous_payoff,budget_heavy,VCG,,,,,,,,,,aggressive,0.4019,0.3807,1.6888,,
heterogeneous,aggressive_heavy,GSP,7.25,8.7873,0.9238,0.3075,0.327,0.5202,0.1583,0.0072,0.0,,,,,,
heterogeneous_payoff,aggressive_heavy,GSP,,,,,,,,,,truthful,0.0869,0.2731,1.5564,,
heterogeneous_payoff,aggressive_heavy,GSP,,,,,,,,,,aggressive,0.0753,0.3117,1.6783,,
heterogeneous_payoff,aggressive_heavy,GSP,,,,,,,,,,budget,0.0732,0.1274,1.2887,,
heterogeneous_payoff,aggressive_heavy,GSP,,,,,,,,,,shaded,0.0762,0.1186,1.2156,,
heterogeneous,aggressive_heavy,VCG,3.511,8.7025,0.9215,1.0383,0.2337,0.1195,0.1593,0.0092,0.0,,,,,,
heterogeneous_payoff,aggressive_heavy,VCG,,,,,,,,,,aggressive,0.3295,0.3253,1.6969,,
heterogeneous_payoff,aggressive_heavy,VCG,,,,,,,,,,budget,0.144,0.1265,1.2939,,
heterogeneous_payoff,aggressive_heavy,VCG,,,,,,,,,,shaded,0.1122,0.0984,1.2154,,
heterogeneous_payoff,aggressive_heavy,VCG,,,,,,,,,,truthful,0.2683,0.2508,1.526,,
collusion,0pct,GSP,6.8093,8.7601,0.9209,0.3902,0.312,0.4284,0.1824,0.0072,0.0,,,,,,
